Genus,Species,Body weight (g),Brain weight (g),Total length (cm)
Xenotilapia,melanogenys,18.5,0.09,
Xenotilapia,melanogenys,11.7,0.0784,
Xenotilapia,melanogenys,11.9,0.0773,
Xenotilapia,melanogenys,36.06,0.118,
Xenotilapia,melanogenys,31.7,0.119,
Xenotilapia,melanogenys,25.77,0.103,
Xenotilapia,melanogenys,19,0.0859,
Xenotilapia,melanogenys,19.6,0.113,
Xenotilapia,melanogenys,13.7,0.0951,
Xenotilapia,melanogenys,13.2,0.0848,
Xenotilapia,melanogenys,10.2,0.075,
Xenotilapia,melanogenys,18.1,0.0961,
Xenotilapia,melanogenys,13.6,0.09,
Xenotilapia,melanogenys,14.4,0.1046,
Xenotilapia,melanogenys,14.8,0.0927,
Xenotilapia,melanogenys,15.4,0.1022,
Xenotilapia,melanogenys,11.8,0.0807,
Xenotilapia,melanogenys,11.2,0.0815,
Xenotilapia,melanogenys,12,0.0844,
Xenotilapia,ochrogenys,6.42,0.058,
Xenotilapia,ochrogenys,8.45,0.069,
Xenotilapia,ochrogenys,6.42,0.061,
Xenotilapia,ochrogenys,7.9,0.066,
Xenotilapia,ochrogenys,7.59,0.071,
Xenotilapia,spiloptera,5.3,0.052,
Xenotilapia,spiloptera,6.1,0.064,
Xenotilapia,spiloptera,5.99,0.059,
Xenotilapia,spiloptera,6.11,0.054,
Xenotilapia,spiloptera,7.39,0.06,
Xenotilapia,spiloptera,7.24,0.063,
Xenotilapia ,boulengeri,15.2,0.1237,
Amblycirrhitus,bimacula,12.5,0.061,
Cirrhitops,fasciatus,15.2,0.086,9.8
Cirrhitops,fasciatus,18.9,0.098,10.2
Cirrhitus,pinnulatus,161,0.237,19.6
Paracirrhites,arcatus,18.9,0.094,
Paracirrhites,arcatus,13.3,0.091,
Coryphaena,hippurus,13500,3.86,
Coryphaena,hippurus,5480,3.368,108
Coryphaena,hippurus,6000,3.478,108.5
Echeneis,naucrates,645,0.763,57
Echeneis,naucrates,1920,1.315,90
Bostrychus,sinensis,44.7,0.0447,14
Bostrychus,sinensis,1.9,0.01,
Bostrychus,sinensis,10.5,0.0203,
Bostrychus,sinensis,47.5,0.0462,13.9
Bostrychus,sinensis,51.3,0.0403,
Butis,amboinensis,2.4,0.01,
Butis,amboinensis,2.8,0.0115,
Butis,amboinensis,3.5,0.0137,
Butis,amboinensis,4.5,0.0143,
Butis,amboinensis,28.2,0.0406,
Butis,butis,39.5,0.0692,14.5
Butis,butis,1.2,0.0112,
Butis,butis,2.1,0.0159,
Butis,butis,18.3,0.0438,
Butis,butis,6.7,0.0245,8.6
Dormitator,latifrons,55.8,0.0505,15
Eleotris,acanthopoma,7.67,0.0134,
Eleotris,acanthopoma,5.8,0.012,
Eleotris,acanthopoma,6.8,0.012,
Eleotris,fusca,276,0.084,26
Eleotris,melanosoma,83.4,0.0494,17
Eleotris,melanosoma,0.2,0.003,
Eleotris,melanosoma,1,0.0053,
Eleotris,melanosoma,1.8,0.0042,
Eleotris,melanosoma,2.4,0.0058,
Eleotris,melanosoma,4,0.0073,6.2
Eleotris,melanosoma,14.3,0.0195,
Eleotris,melanosoma,15.3,0.023,
Eleotris,oxycephala,142.6,0.0636,21
Eleotris,oxycephala,99,0.0608,
Eleotris,oxycephala,109,0.05,
Eleotris,sandvicensis,57.4,0.0375,15.5
Eleotris,sandvicensis,22.7,0.0313,
Eleotris,sandvicensis,37.1,0.034,
Erotelis,smaragdus,54.7,0.0375,20
Giuris,margaritacea,275,0.1084,29
Gobimorphus,australis,73.7,0.0577,17.5
Gobimorphus,australis,32.3,0.035,11.6
Gobimorphus,coxii,23.6,0.0388,12
Gobimorus,dormitor,7508,0.381,90
Hypseleotris,aurea,1.41,0.0144,5.5
Hypseleotris,galii,1.53,0.0089,5.5
Mogurnda,mogurnda,213,0.16,20
Odontobutis,obscura,110,0.0654,
Ophiocara,porocephala,824,0.235,34
Prinobutis,microps,134,0.1524,
Platax,orbicularis,900,0.995,30
Epigonus,telescopus,23.8,0.237,
Epigonus,telescopus,29.8,0.289,
Epigonus,telescopus,39.8,0.333,
Epigonus,telescopus,50,0.391,
Epigonus,telescopus,100,0.519,19.6
Epigonus,telescopus,125,0.509,21.6
Epigonus,telescopus,133,0.586,21.2
Epigonus,telescopus,150,0.5997,22
Epigonus,telescopus,160,0.6122,24
Epigonus,telescopus,200,0.714,
Epigonus,telescopus,210,0.744,24
Lepidocybium,flavobrunneum,5890,2.28,
Rexea,prometheoides,50,0.328,25.7
Eucinostomus,gula,17,0.15,
Gerres,cinereus,133,0.482,
Gerres,filamentosus,40,0.215,14
Glaucosoma,scapulare,1100,0.73,
Acanthogobius,flavimanus,39.5,0.0525,
Acanthogobius,flavimanus,19.2,0.0357,
Acanthogobius,flavimanus,24.2,0.039,
Acanthogobius,flavimanus,124,0.124,
Acentrogobius,caninus,2.2,0.014,
Acentrogobius,caninus,6.1,0.0298,
Acentrogobius,caninus,18,0.0498,
Acentrogobius,caninus,49.3,0.0831,
Acentrogobius,moloanus,1.2,0.0088,
Acentrogobius,moloanus,1.2,0.0097,
Acentrogobius,moloanus,5.76,0.0214,
Acentrogobius,viridipunctatus,3.6,0.02,
Acentrogobius,viridipunctatus,6.8,0.02,
Acentrogobius,viridipunctatus,13.3,0.0309,
Acentrogobius,viridipunctatus,26.4,0.039,
Acentrogobius,viridipunctatus,60.7,0.0691,
Afurcagobius,tamarensis,16.7,0.0285,
Amblychaeturichthys,hexanema,1.3,0.0172,
Amblychaeturichthys,hexanema,3.44,0.0309,
Amblychaeturichthys,sciistius,2.63,0.0314,
Amblyeleotris,guttata,4.8,0.024,
Amblyeleotris,guttata,12.9,0.0418,
Amblyeleotris,japonica,10,0.0371,
Amblyeleotris,steinitzi,1.4,0.007,
Amblyeleotris,steinitzi,4.45,0.0142,
Amblyeleotris,sungami,2.9,0.0223,
Amblyeleotris,sungami,4,0.0218,
Amblyeleotris,sungami,7.62,0.0273,
Amblygobius,albimaculatus,1.5,0.01,
Amblygobius,albimaculatus,5,0.0222,
Amblygobius,albimaculatus,5.6,0.0202,
Amblygobius,albimaculatus,8.6,0.0263,
Amblygobius,albimaculatus,73.5,0.0832,
Amblygobius,phalaena,2.3,0.0253,
Amblygobius,phalaena,2.5,0.0225,
Amblygobius,phalaena,3,0.031,
Amblygobius,phalaena,4.5,0.0357,
Amblygobius,phalaena,4.7,0.0395,
Amblygobius,phalaena,5.3,0.0265,
Amblygobius,phalaena,7,0.029,
Amblygobius,phalaena,32.4,0.0936,
Amblygobius,semicinctus,7.6,0.035,
Amblygobius,semicinctus,11,0.0312,
Amblygobius,semicinctus,32.6,0.0648,
Amoya,gracilis,0.7,0.0096,
Amoya,gracilis,1.3,0.012,
Amoya,gracilis,50.5,0.0751,
Arenigobius,frenatus,10.9,0.0199,
Asterropteryx,semipunctata,5.08,0.0194,6.5
Asterropteryx,semipunctata,0.2,0.002,
Asterropteryx,semipunctata,0.3,0.0023,2.7
Asterropteryx,semipunctata,0.4,0.0045,2.9
Asterropteryx,semipunctata,0.5,0.0078,
Asterropteryx,semipunctata,0.6,0.0035,
Asterropteryx,semipunctata,0.9,0.009,
Awaous,lateristriga,65.1,0.0386,18
Awaous,lateristriga,208,0.0653,26.5
Awaous,ocellaris,57.9,0.0552,15.5
Awaous,ocellaris,3.6,0.0145,
Awaous,ocellaris,6.7,0.0165,
Awaous,ocellaris,7.9,0.018,
Awaous,ocellaris,20.4,0.0328,
Bathygobius,cocosensis,24.8,0.0588,12
Bathygobius,cocosensis,0.7,0.01,
Bathygobius,cocosensis,0.7,0.0102,
Bathygobius,cocosensis,1,0.007,
Bathygobius,cocosensis,1.1,0.0093,
Bathygobius,cocosensis,1.3,0.013,
Bathygobius,cocosensis,1.7,0.0113,
Bathygobius,cocosensis,2,0.0122,
Bathygobius,cocosensis,2.3,0.0123,
Bathygobius,cyclopterus,4.2,0.019,7.1
Bathygobius,cyclopterus,5.78,0.023,7.5
Bathygobius,cyclopterus,1.4,0.0097,
Bathygobius,cyclopterus,1.5,0.0137,
Bathygobius,cyclopterus,1.6,0.0106,
Bathygobius,cyclopterus,1.9,0.011,
Bathygobius,cyclopterus,2,0.0157,
Bathygobius,cyclopterus,2.2,0.0116,
Bathygobius,cyclopterus,2.8,0.014,
Bathygobius,cyclopterus,3.1,0.0147,
Bathygobius,cyclopterus,3.1,0.0152,
Bathygobius,fuscus,6.5,0.026,
Bathygobius,fuscus,6.7,0.029,
Bathygobius,fuscus,7.4,0.029,
Bathygobius,fuscus,8.7,0.032,
Bathygobius,fuscus,12.2,0.0384,8.5
Bathygobius,krefftii,24.4,0.035,
Bathygobius,niger,5.5,0.023,
Bathygobius,niger,7.5,0.0294,
Bathygobius,niger,7.59,0.0286,
Bathygobius,soporator,25.4,0.0402,12
Bathygobius,soporator,8.4,0.0183,
Bathygobius,soporator,9.8,0.0266,
Bathygobius,soporator,10.8,0.0283,
Boleophthalmus,pectinirostris,26.6,0.031,15.7
Boleophthalmus,pectinirostris,36.3,0.037,17.4
Boleophthalmus,pectinirostris,47.2,0.0417,19
Brachygobius,sua,2.34,0.0127,4.2
Bryaninops,natans,0.7,0.0057,
Caffrogobius,caffer,103.5,0.1085,18
Caffrogobius,caffer,3.2,0.0192,
Caffrogobius,caffer,11,0.0483,
Caffrogobius,caffer,11.1,0.0282,
Caffrogobius,caffer,11.9,0.0494,
Caffrogobius,caffer,13.5,0.03,
Caffrogobius,caffer,19.7,0.0427,
Caffrogobius,caffer,23.5,0.0473,
Caffrogobius,gilchristi,47.7,0.0607,15
Caffrogobius,gilchristi,1.2,0.0162,
Caffrogobius,gilchristi,1.7,0.0108,
Caffrogobius,gilchristi,2,0.0145,
Caffrogobius,gilchristi,2.1,0.012,
Caffrogobius,gilchristi,2.1,0.0145,
Caffrogobius,gilchristi,3,0.0142,
Caffrogobius,gilchristi,4.8,0.0157,
Caffrogobius,gilchristi,4.8,0.0166,6.7
Caffrogobius,gilchristi,8.8,0.0145,
Caffrogobius,gilchristi,8.9,0.0233,
Caffrogobius,gilchristi,11.2,0.0203,
Caffrogobius,gilchristi,13.7,0.0227,
Caffrogobius,saldanha,30.8,0.0641,12.5
Caffrogobius,saldanha,5.4,0.0228,
Caffrogobius,saldanha,10.4,0.0347,
Caffrogobius,saldanha,25.6,0.0667,
Callogobius,sclateri,10,0.0181,7
Callogobius,sclateri,8,0.016,6.5
Chaenogobius,gulosus,21.2,0.0595,11
Chaenogobius,gulosus,1.3,0.0128,
Chaenogobius,gulosus,2.4,0.018,
Chaenogobius,gulosus,3.3,0.0183,
Chaenogobius,gulosus,4.6,0.0262,
Deltentosteus,quadrimaculatus,5.58,0.0142,8
Drombus,triangularis,8.26,0.0268,7.5
Eviota,guttata,0.45,0.0073,3.2
Eviota,prasina,0.6,0.0071,3.5
Eviota,prasina,0.2,0.0027,
Exyrias,puntang,44,0.05,16.2
Exyrias,puntang,7.6,0.0197,
Exyrias,puntang,19.55,0.048,
Favonigobius,lateralis,6.63,0.0168,8.8
Favonigobius,reichei,6.9,0.0329,8.3
Gillichthys,mirabilis,121.6,0.0902,21
Gnatholepis,anjerensis,7.11,0.0216,8
Gobiodon,citrinus,5.27,0.0161,6.2
Gobiodon,citrinus,1.6,0.0081,
Gobiodon,citrinus,3.6,0.013,
Gobiodon,rivulatus,3.44,0.0199,5
Gobiodon,rivulatus,1,0.0094,3.6
Gobiopterus,semivestitus,0.16,0.0026,2.7
Gobiopterus,semivestitus,0.1,0.0022,
Gobiosoma,paradoxum,0.93,0.0047,4
Gobiosoma,paradoxum,0.4,0.0027,
Gobiosoma,paradoxum,0.4,0.003,
Gobiosoma,paradoxum,0.5,0.0032,
Gobius,cobitis,322,0.228,30
Gobius,cobitis,46.1,0.095,15.7
Gobius,couchi,39.8,0.0785,15
Gobius,couchi,4.6,0.0266,7.5
Gobius,couchi,5.8,0.0258,7.7
Gobius,niger,40.7,0.0581,15
Gobius,niger,5.9,0.0137,7.3
Gobius,niger,8,0.0193,
Gobius,niger,9.6,0.0178,
Gobius,niger,12.4,0.04,
Gobius,niger,16.9,0.065,
Gobius,niger,36,0.048,14.5
Gobius,paganellus,2.3,0.0178,6.2
Gobius,paganellus,2.5,0.02,6.3
Gobius,paganellus,2.6,0.0139,
Gobius,paganellus,4,0.0237,
Gobius,paganellus,5.2,0.0249,6.6
Gobius,paganellus,12.3,0.0468,
Gobius,paganellus,13.9,0.0446,10.8
Gobius,paganellus,14.2,0.045,10.5
Gobius,paganellus,14.5,0.0478,10.6
Gobius,paganellus,14.7,0.0498,11
Gobius,paganellus,14.8,0.0524,
Gobius,paganellus,15.5,0.0509,9.2
Gobius,paganellus,15.5,0.0563,
Gobius,paganellus,17.5,0.0535,
Gobius,paganellus,0.4,0.008,3.6
Gobius,paganellus,0.4,0.0076,
Gobius,paganellus,0.5,0.0084,3.8
Gobius,paganellus,0.8,0.0097,
Gobius,paganellus,0.8,0.0106,
Gobius,paganellus,1,0.0122,
Gobius,paganellus,1,0.0142,
Gobius,paganellus,1.3,0.0136,
Gobius,paganellus,21.5,0.0652,12.5
Gobiusculus,flavescens,2.4,0.0171,6
Gymnogobius,isaza,7.26,0.0215,8
Gymnogobius,isaza,5,0.018,
Gymnogobius,isaza,6.8,0.02,
Gymnogobius,urotaenia,3.6,0.0237,6.5
Gymnogobius,urotaenia,16,0.0293,10
Gymnogobius,urotaenia,1.8,0.015,
Gymnogobius,urotaenia,2.1,0.018,
Gymnogobius,urotaenia,2.2,0.019,
Gymnogobius,urotaenia,2.8,0.02,6.2
Gymnogobius,urotaenia,3.7,0.022,
Gymnogobius,urotaenia,5.9,0.019,
Gymnogobius,urotaenia,6.9,0.019,
Gymnogobius,urotaenia,8.6,0.02,
Gymnogobius,urotaenia,12.3,0.023,
Knipowitschia,caucasica,0.72,0.0059,4
Knipowitschia,caucasica,0.5,0.005,
Lesueurigobius,suerii,2.61,0.0093,6
Leucopsarion,petersii,0.98,0.0055,5.5
Leucopsarion,petersii,0.4,0.0025,
Leucopsarion,petersii,0.5,0.003,
Leucopsarion,petersii,0.5,0.0037,
Leucopsarion,petersii,0.5,0.004,
Leucopsarion,petersii,0.6,0.003,
Leucopsarion,petersii,0.6,0.0042,
Leucopsarion,petersii,0.6,0.005,
Leucopsarion,petersii,0.7,0.0047,
Lophogobius,cyprinoides,20.8,0.026,10
Luciogobius,guttatus,0.87,0.004,5.5
Microgobius,gulosus,3.62,0.0087,7.5
Microgobius,gulosus,1.8,0.0048,6.1
Odontamblyopus,rubicundus,16.7,0.0168,
Odontamblyopus,rubicundus,16.7,0.019,
Oxyurichthys,tentacularis,32.2,0.036,16.5
Pandaka,lidwilli,0.09,0.0022,2
Pandaka,lidwilli,0.1,0.0014,
Pandaka,lidwilli,0.1,0.0016,
Paragobiodon,echinocephalus,2.07,0.0099,4
Periophthalmus,argentilineatus,9.03,0.0286,10.5
Periophthalmus,argentilineatus,47.5,0.0792,15
Periophthalmus,argentilineatus,1.7,0.016,
Periophthalmus,argentilineatus,8,0.0311,
Periophthalmus,argentilineatus,9.1,0.0345,
Periophthalmus,argentilineatus,10.4,0.0348,
Periophthalmus,barbarus,32.1,0.0872,15
Periophthalmus,barbarus,50.8,0.115,16.5
Periophthalmus,modestus,11.3,0.075,
Pomatoschistus,marmoratus,3.14,0.0183,6.5
Pomatoschistus,microps,3.27,0.0197,6.5
Pomatoschistus,minutus,8.4,0.0298,8.4
Pomatoschistus,minutus,8.5,0.0322,
Pomatoschistus,minutus,12.3,0.032,10
Pomatoschistus,pictus,2.55,0.0134,6
Pomatoschistus,pictus,1.6,0.0105,5
Pomatoschistus,pictus,2.3,0.0133,5.7
Proterorhinus,marmoratus,7.52,0.0219,8.5
Pterogobius,zacalles,1.29,0.0131,6
Redigobius,bikolanus,1.42,0.0074,4.9
Rhinogobius,giurinus,12,0.0156,10
Rhinogobius,giurinus,11.3,0.0151,
Scartelaos,histophorus,15.9,0.0373,14
Scartelaos,histophorus,24.1,0.0828,14.5
Sicyopterus,lagocephalus,14.9,0.0315,11
Stiphodon,elegans,1.8,0.0096,5.2
Stiphodon,elegans,1.85,0.0113,5
Stiphodon,elegans,0.1,0.0022,
Stiphodon,elegans,0.4,0.0047,
Stiphodon,elegans,0.6,0.0042,
Stiphodon,elegans,0.7,0.0062,
Stiphodon,elegans,0.8,0.0053,
Stiphodon,elegans,0.9,0.006,
Stiphodon,elegans,1.1,0.007,
Stiphodon,elegans,1.2,0.0065,
Stiphodon,elegans,1.3,0.0065,
Taenioides,limicola,0.97,0.0039,6.5
Tridentiger,obscurus,13,0.0269,8.5
Tridentiger,obscurus,7.8,0.014,6.8
Tridentiger,obscurus,9.8,0.021,7.8
Tridentiger,obscurus,10.6,0.022,
Tridentiger,trigonocephalus,20.5,0.052,11
Trimma,avidori,0.2,0.002,2.5
Valenciennea,strigata,7.6,0.05,
Gramma,loreto,0.9,0.0149,
Gramma,loreto,1.5,0.0205,
Gramma,loreto,3,0.0304,
Anisotremus,surinamensis,1067,1.274,
Haemulon,carbonarium,192,0.694,
Haemulon,flavolineatum,96,0.474,
Haemulon,plumierii,300,0.81,
Haemulon,plumierii,55.7,0.32,
Plectorhinchus,lineatus,1640,1.23,
Pomadasys,maculatus,12,0.092,
Istiophorus,platypterus,24000,2.906,
Tetrapturus,angustirostris,21840,2.5,
Tetrapturus,audax,2390,1.42,
Kraemeria,cunicularia,0.35,0.0009,4.5
Kuhlia,mugil,45,0.203,16.2
Kyphosus,cinerascens,1625,1.539,
Anampses,caeruleopunctatus,135,0.353,
Anampses,melanurus,2.5,0.0267,
Anampses,twistii,20.6,0.109,
Bodianus,anthioides,95,0.22,
Bodianus,bilunulatus,117,0.395,20
Bodianus,bilunulatus,240,0.549,
Bodianus,diana,38.7,0.234,
Bodianus,loxozonus,360,0.636,
Bodianus,perditio,460,0.821,
Centrolabrus,exoletus,23.3,0.137,11.4
Centrolabrus,exoletus,26.4,0.144,11.8
Centrolabrus,exoletus,28.8,0.183,12.7
Centrolabrus,exoletus,30.4,0.155,12.6
Centrolabrus,exoletus,32.5,0.148,12.7
Centrolabrus,exoletus,33.4,0.175,13.2
Centrolabrus,exoletus,33.5,0.208,13
Cheilinus,chlorourus,244,0.402,
Cheilinus,fasciatus,316,0.375,27.7
Cheilinus,fasciatus,510,0.715,
Cheilinus,fasciatus,246.6,0.416,
Cheilinus,trilobatus,145,0.309,19.2
Cheilinus,trilobatus,395,0.522,27.5
Cheilio,inermis,126.7,0.372,29.2
Cirrhilabrus,temminckii,23,0.095,
Coris,aygula,1400,0.689,46
Coris,aygula,1620,0.623,48
Coris,flavovittata,17.9,0.117,
Coris,gaimard,42.2,0.16,15.7
Coris,julis,14.64,0.113,
Coris,julis,5.7,0.075,
Coris,julis,6.7,0.075,
Coris,julis,7,0.085,
Coris,julis,7.6,0.09,
Coris,julis,8.6,0.095,
Coris,julis,9,0.085,
Coris,julis,9.5,0.105,
Coris,julis,9.8,0.105,
Coris,julis,9.9,0.085,
Coris,julis,11,0.095,
Coris,julis,11.1,0.105,
Coris,julis,12.2,0.115,
Coris,julis,12.6,0.105,
Coris,julis,13.5,0.105,11.6
Coris,julis,13.6,0.115,
Coris,julis,13.9,0.11,
Coris,julis,14.5,0.105,12
Coris,julis,15.1,0.125,12.1
Coris,julis,15.5,0.12,12.5
Coris,julis,18.7,0.125,13.2
Coris,julis,20.7,0.135,13.5
Coris,julis,21,0.131,13.8
Coris,julis,21,0.145,13.4
Coris,julis,24,0.153,14.2
Coris,julis,24,0.155,14.5
Coris,julis,24.5,0.137,14.5
Coris,julis,24.5,0.138,14.1
Coris,julis,24.7,0.145,14.3
Ctenolabrus,rupestris,14.4,0.115,10.6
Ctenolabrus,rupestris,15.2,0.12,10.8
Ctenolabrus,rupestris,15.4,0.13,10.7
Ctenolabrus,rupestris,15.4,0.134,10.8
Ctenolabrus,rupestris,15.9,0.107,
Ctenolabrus,rupestris,17.4,0.132,11.7
Ctenolabrus,rupestris,17.6,0.134,11.3
Ctenolabrus,rupestris,19,0.137,11.6
Ctenolabrus,rupestris,19.3,0.114,11.2
Ctenolabrus,rupestris,20,0.124,12
Ctenolabrus,rupestris,20.1,0.132,11.6
Ctenolabrus,rupestris,20.2,0.11,11.2
Ctenolabrus,rupestris,20.4,0.172,13.2
Ctenolabrus,rupestris,20.5,0.124,11.7
Ctenolabrus,rupestris,21.1,0.132,11.6
Ctenolabrus,rupestris,23,0.123,11.8
Ctenolabrus,rupestris,24.2,0.126,11.8
Ctenolabrus,rupestris,24.4,0.195,
Ctenolabrus,rupestris,26.4,0.147,12.9
Ctenolabrus,rupestris,26.6,0.138,12.3
Ctenolabrus,rupestris,26.8,0.144,
Ctenolabrus,rupestris,27.4,0.184,
Ctenolabrus,rupestris,29.9,0.133,12.5
Ctenolabrus,rupestris,40,0.247,
Ctenolabrus,rupestris,57,0.243,
Ctenolabrus,rupestris,113,0.3,
Ctenolabrus,rupestris,156,0.333,
Ctenolabrus,rupestris,219,0.396,
Ctenolabrus,rupestris,19.3,0.141,11.7
Ctenolabrus,rupestris,3.4,0.0545,7.1
Ctenolabrus,rupestris,4.4,0.06,7.2
Ctenolabrus,rupestris,6.1,0.058,8.2
Ctenolabrus,rupestris,6.4,0.075,
Ctenolabrus,rupestris,6.4,0.076,8
Ctenolabrus,rupestris,7,0.072,8.7
Ctenolabrus,rupestris,7.3,0.08,8.6
Ctenolabrus,rupestris,7.8,0.07,8.5
Ctenolabrus,rupestris,8.2,0.091,9
Ctenolabrus,rupestris,8.6,0.092,
Ctenolabrus,rupestris,8.9,0.0845,9.2
Ctenolabrus,rupestris,9.3,0.09,9.4
Ctenolabrus,rupestris,10,0.102,9.7
Ctenolabrus,rupestris,10.9,0.096,9.7
Ctenolabrus,rupestris,11.6,0.097,
Ctenolabrus,rupestris,12,0.099,9.8
Ctenolabrus,rupestris,12,0.113,9.9
Ctenolabrus,rupestris,12.1,0.108,10
Ctenolabrus,rupestris,12.4,0.093,10.2
Ctenolabrus,rupestris,13.9,0.103,10.4
Ctenolabrus,rupestris,14,0.107,
Ctenolabrus,rupestris,14.1,0.115,10.4
Ctenolabrus,rupestris,14.3,0.116,10.4
Ctenolabrus,rupestris,14.3,0.122,
Epibulus,insidiator,274,0.447,27.5
Gomphosus,caeruleus,66,0.257,18
Gomphosus,varius,89.5,0.333,20.7
Halichoeres,biocellatus,15.7,0.0926,
Halichoeres,biocellatus,16.6,0.079,10.4
Halichoeres,bivittatus,18.63,0.117,
Halichoeres,garnoti,38,0.167,
Halichoeres,hortulanus,142,0.32,21.4
Halichoeres,hortulanus,178,0.303,22.7
Halichoeres,hortulanus,130.87,0.294,
Halichoeres,maculipinna,12,0.064,
Halichoeres,margaritaceus,6.5,0.0617,8.5
Halichoeres,margaritaceus,6.1,0.068,
Halichoeres,marginatus,34,0.142,13
Halichoeres,melanurus,19.7,0.0776,
Halichoeres,nigrescens,27.5,0.0986,
Halichoeres,ornatissimus,13.3,0.094,10
Halichoeres,poeyi,26,0.112,
Halichoeres,trimaculatus,4.3,0.0426,
Halichoeres,trimaculatus,5.87,0.062,
Hemigymnus,fasciatus,231,0.528,23.8
Hemigymnus,melapterus,196,0.432,22.1
Hologymnosus,annulatus,350,0.671,
Labrichthys,unilineatus,20,0.1,11
Labroides,dimidiatus,13,0.0803,
Labroides,dimidiatus,5.8,0.0512,
Labroides,dimidiatus,5.7,0.0642,9.2
Labroides,dimidiatus,5.8,0.0404,7.6
Labrus,bergylta,2.1,0.041,5.6
Labrus,bergylta,2.3,0.041,5.8
Labrus,bergylta,2.8,0.047,6.1
Labrus,bergylta,3.2,0.056,
Labrus,bergylta,3.6,0.053,6.6
Labrus,bergylta,4.7,0.072,7.4
Labrus,bergylta,5,0.076,7.3
Labrus,bergylta,5.7,0.069,7.9
Labrus,bergylta,5.9,0.017,7.8
Labrus,bergylta,6,0.076,7.8
Labrus,bergylta,6.3,0.084,7.9
Labrus,bergylta,7.6,0.099,8.5
Labrus,bergylta,8,0.089,8.3
Labrus,bergylta,11.6,0.111,
Labrus,bergylta,15.1,0.141,
Labrus,bergylta,15.9,0.131,
Labrus,bergylta,19.9,0.144,
Labrus,bergylta,20.6,0.135,
Labrus,bergylta,21,0.163,11.8
Labrus,bergylta,28,0.197,13
Labrus,bergylta,28,0.22,13.1
Labrus,bergylta,28.2,0.172,12.4
Labrus,bergylta,31,0.241,14.1
Labrus,bergylta,34,0.23,14
Labrus,bergylta,40,0.219,
Labrus,bergylta,41,0.236,14.9
Labrus,bergylta,43,0.243,15.3
Labrus,bergylta,46,0.241,15.5
Labrus,bergylta,49,0.249,
Labrus,bergylta,56,0.253,16.7
Labrus,bergylta,61,0.299,16.9
Labrus,bergylta,62,0.286,17.7
Labrus,bergylta,65,0.264,16.7
Labrus,bergylta,130,0.418,
Labrus,bergylta,185,0.522,23.9
Labrus,bergylta,204,0.563,24.5
Labrus,bergylta,213,0.535,24.2
Labrus,bergylta,218,0.49,23.9
Labrus,bergylta,242,0.543,25
Labrus,bergylta,262,0.465,25.7
Labrus,bergylta,285,0.586,26.5
Labrus,bergylta,292,0.604,26.9
Labrus,bergylta,302,0.55,27.1
Labrus,bergylta,303,0.573,25.9
Labrus,bergylta,312,0.504,27
Labrus,bergylta,325,0.619,27.3
Labrus,bergylta,333,0.558,28.5
Labrus,bergylta,337,0.602,26.7
Labrus,bergylta,362,0.573,28.8
Labrus,bergylta,395,0.703,29
Labrus,bergylta,412,0.687,29.6
Labrus,bergylta,416,0.667,30.9
Labrus,bergylta,450,0.666,30.4
Labrus,bergylta,521,0.684,31.2
Labrus,bergylta,539,0.708,31.6
Labrus,bergylta,570,0.645,32
Labrus,bergylta,684,0.687,34.2
Labrus,bergylta,758,0.77,35.2
Labrus,bergylta,840,0.776,
Labrus,bergylta,903,0.826,
Labrus,bergylta,1256,0.913,42.8
Labrus,bergylta,1300,1.222,43.7
Labrus,bergylta,1510,1.015,44.5
Labrus,bergylta,1700,1.006,
Labrus,bergylta,1776,1.132,47.5
Labrus,bergylta,1830,1.259,46.7
Labrus,bergylta,1902,1.233,50.8
Labrus,bergylta,2090,1.17,49.3
Labrus,bergylta,436,0.379,
Labrus,bergylta,550,0.478,
Labrus,bergylta,626,0.445,
Labrus,bergylta,970,0.399,
Labrus,mixtus,500,0.718,
Lachnolaimus,maximus,480,0.91,
Larabicus,quadrilineatus,14,0.0806,
Macropharyngodon,geoffroy,32,0.11,12
Oxycheilinus,celebicus,30,0.107,
Oxycheilinus,celebicus,60,0.163,17
Oxycheilinus,digramma,77.5,0.28,18
Oxycheilinus,digramma,100,0.24,18.5
Oxycheilinus,unifasciatus,82.5,0.238,17.5
Oxycheilinus,unifasciatus,121,0.273,19.3
Oxycheilinus,unifasciatus,122,0.246,18.7
Pseudocheilinus,evanidus,3.3,0.037,6.5
Pseudocheilinus,evanidus,4.8,0.041,7
Pseudocoris,yamashiroi,2.8,0.031,
Stethojulis,balteata,0.8,0.0163,
Stethojulis,bandanensis,26,0.154,12
Symphodus,bailloni,29,0.118,12.8
Symphodus,bailloni,37,0.218,
Symphodus,mediterraneus,10.7,0.075,8.8
Symphodus,mediterraneus,18.2,0.1,10.3
Symphodus,mediterraneus,18.6,0.105,10.2
Symphodus,mediterraneus,19,0.095,10.9
Symphodus,mediterraneus,20.4,0.105,10.6
Symphodus,mediterraneus,20.5,0.1,11.2
Symphodus,mediterraneus,25.7,0.113,12.7
Symphodus,mediterraneus,27,0.135,
Symphodus,mediterraneus,29.1,0.135,
Symphodus,mediterraneus,31,0.14,12.3
Symphodus,mediterraneus,31.5,0.135,13
Symphodus,melanocercus,7,0.075,8.7
Symphodus,melanocercus,7,0.075,8.7
Symphodus,melops,10.5,0.082,
